Carrera,Codigo Guarani,Materia,Edificio,Profesor,Aula,Dia,Hora inicio,Hora fin
Ingeniería en Computación,B6003,Programación I,Anasagasti II,Miguel MARIGUIN,Segundo Piso-2,Lunes,10,14
Ingeniería en Computación,B6003,Programación I,Anasagasti II,MARTIN RENE VILUGRON,Segundo Piso-2,Lunes,8,12
Ingeniería en Computación,B6003,Programación I,Anasagasti II,MAURO ALEJANDRO FERMIN,Segundo Piso-2,Lunes,10,14
Ingeniería en Computación,B6003,Programación I,Anasagasti II,DANIEL EDUARDO TEIRA,Segundo Piso-2,Lunes,10,14
Ingeniería en Computación,B6003,Programación I,Anasagasti II,NICOLÁS LUCIANO BERTOLO,Segundo Piso-2,Lunes,8,12
Ingeniería en Computación,B6003,Programación I,Anasagasti II,IVAN PEDRO NOMDEDEU,Segundo Piso-2,Lunes,10,14
Ingeniería en Computación,B6004,Electrónica Digital,Anasagasti II,JUAN PABLO CALDO,Segundo Piso-2,Lunes,8,12
Ingeniería en Computación,B6004,Electrónica Digital,Anasagasti II,LAUTARO ACHA,Segundo Piso-2,Lunes,8,12
Ingeniería en Computación,B6005,Química,Anasagasti II,GASTON EDUARDO DI BONIS,Segundo Piso-2,Lunes,10,14
Ingeniería en Computación,B6005,Química,Anasagasti II,RAFAEL FERNANDO RUANO,Segundo Piso-2,Lunes,8,12
Ingeniería en Computación,B6002,Física General I,Anasagasti II,LORENA LUISA BAEZ,Segundo Piso-2,Lunes,10,14
Ingeniería en Computación,B6002,Física General I,Anasagasti II,CATERINA LAMPERTI,Segundo Piso-2,Lunes,8,12
Ingeniería en Computación,B6002,Física General I,Anasagasti II,MARÍA DE LOS ÁNGELE DA FONSECA,Segundo Piso-2,Lunes,10,14
Ingeniería en Computación,B6002,Física General I,Anasagasti II,LORENA LUISA BAEZ,Segundo Piso-2,Lunes,10,14
Ingeniería en Computación,B5638,Inglés Técnico,Anasagasti II,MONICA DELIA LORENZO DE MAGOIA,Segundo Piso-2,Lunes,8,12
Ingeniería en Computación,B6017,Seguridad Ambiental y Laboral,Anasagasti II,VANINA ESTELA RIBERI,Segundo Piso-2,Lunes,10,14
Ingeniería en Computación,B6012,Análisis de Circuitos,Anasagasti II,MARIANO SANTAYA,Segundo Piso-2,Lunes,10,14
Ingeniería en Computación,B6012,Análisis de Circuitos,Anasagasti II,GRETEL VICTORIA  LASCANO WARNES,Segundo Piso-2,Lunes,8,12
Ingeniería en Computación,B6019,Señales y Sistemas,Anasagasti II,GUILLERMO ENRIQUE GOMEZ,Segundo Piso-2,Lunes,10,14
Ingeniería en Computación,B6020,Redes de Área Local y Extendida,Anasagasti II,IGNACIO ENRIQUE CATALANO,Segundo Piso-2,Lunes,8,12
Ingeniería en Computación,B6018,Sistemas Operativos I,Anasagasti II,CARLOS GERMÁN TEJERO,Segundo Piso-2,Lunes,8,12
Ingeniería en Computación,B6011,Física General II,Anasagasti II,CATERINA LAMPERTI,Segundo Piso-2,Lunes,8,12
Ingeniería en Computación,B6011,Física General II,Anasagasti II,LORENA LUISA BAEZ,Segundo Piso-2,Lunes,10,14
Ingeniería en Computación,B6010,Matemática III,Anasagasti II,CATERINA LAMPERTI,Segundo Piso-2,Lunes,8,12
Ingeniería en Computación,B6010,Matemática III,Anasagasti II,FABIAN EDUARDO GIANA,Segundo Piso-2,Lunes,8,12
Ingeniería en Computación,B6025,Inteligencia Artificial,Anasagasti II,WALTER FABIAN AGÜERO,Segundo Piso-2,Lunes,10,14
